,tweet_text,sentiment,tweet_text_tokens
96,"RT @mention Germany plans to move away from nuclear power, which constitutes 22% of country•_Õs energy source, in 11 years. via @mention",2,"['germany', 'plans', 'move', 'away', 'nuclear', 'power', 'constitutes', 'country•õs', 'energy', 'source', 'years', 'via']"
97,@mention got hacked by anonymous. anonymous also hacked the FBI and a russian nuclear power plant..,2,"['got', 'hacked', 'anonymous', 'anonymous', 'also', 'hacked', 'fbi', 'russian', 'nuclear', 'power', 'plant']"
98,RT @mention Govt Expanding Civil Nuclear Energy Programme: PM {link},2,"['govt', 'expanding', 'civil', 'nuclear', 'energy', 'programme', 'pm']"
99,@mention Happy to spread the word about a fine nuclear power plant!,1,"['happy', 'spread', 'word', 'fine', 'nuclear', 'power', 'plant']"
100,"@mention has &quot;open mind on #nuclear energy,&quot; he tells FresBee edit board. Cites climate change as major reason 4 stance #559vote",2,"['tells', 'fresbee', 'edit', 'board', 'cites', 'climate', 'change', 'major', 'reason', 'stance', 'vote']"
101,"@mention has &quot;open mind&quot; on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear",2,"['nuclear', 'energy', 'concerned', 'nuclear', 'waste', 'need', 'water', 'run', 'plant', 'cagov', 'nuclear']"
102,@mention Has to follow his own advices and recognize mistakes about nuclear energy: {link} and {link},2,"['follow', 'advices', 'recognize', 'mistakes', 'nuclear', 'energy']"
103,RT @mention HILLSBOROUGH: Students Attend Nuclear Energy Forum: Hillsborough teens were among 200 New Jersey high school stu... {link},2,"['hillsborough', 'students', 'attend', 'nuclear', 'energy', 'forum', 'hillsborough', 'teens', 'among', 'new', 'jersey', 'high', 'school', 'stu']"
104,@mention hmmm read about his views on environmental and nuclear energy policies.,2,"['hmmm', 'read', 'views', 'environmental', 'nuclear', 'energy', 'policies']"
105,RT @mention How our kids are being schooled by the nuclear industry {link} via @mention,2,"['kids', 'schooled', 'nuclear', 'industry', 'via']"
106,"RT @mention I am tweeting, &quot;Stop the nuclear power plant&quot;. Please give &quot;Re-Tweet&quot; to my tweet. #no_nukes #genpatsu #&#21407;&#30330;&#12392;&#12417;&#12429;#s_t_r",0,"['tweeting', 'str']"
107,@mention I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your RT and heart.,0,"['want', 'stop', 'nuclear', 'power', 'plant', 'world', 'nowso', 'shout', 'everydayso', 'thanks', 'heart']"
108,@mention I'd go to the MLP universe and introduce nuclear energy and warfare strategies to the ponies. #fuckthepolice,2,"['id', 'go', 'mlp', 'universe', 'introduce', 'nuclear', 'energy', 'warfare', 'strategies', 'ponies', 'fuckthepolice']"
109,"RT @mention I'm also confused how Japan's nuclear energy is not a threat, while Iran's is. How does physics not work the same all over the world?",2,"['im', 'also', 'confused', 'japans', 'nuclear', 'energy', 'threat', 'irans', 'physics', 'work', 'world']"
110,@mention I'm assuming nuclear power is a growing industry right now?,2,"['im', 'assuming', 'nuclear', 'power', 'growing', 'industry', 'right']"
111,@mention i'm skeptical that he knows shit about nuclear energy apart from &quot;the public are scared shitless of it&quot;,2,"['im', 'skeptical', 'knows', 'shit', 'nuclear', 'energy', 'apart']"
112,RT @mention Idaho Samizdat: Nuke Notes: 66th Carnival of Nuclear Energy Bloggers {link},2,"['idaho', 'samizdat', 'nuke', 'notes', 'th', 'carnival', 'nuclear', 'energy', 'bloggers']"
113,"@mention If McGuinty has his way natural gas will be redundant and expensive wind, solar and dangerous nuclear energy will replace it.",2,"['mcguinty', 'way', 'natural', 'gas', 'redundant', 'expensive', 'wind', 'solar', 'dangerous', 'nuclear', 'energy', 'replace']"
114,RT @mention if we work #TOGETHER we can phase-out nuclear power and replace it with clean energy ... :),0,"['work', 'together', 'phaseout', 'nuclear', 'power', 'replace', 'clean', 'energy']"
115,RT @mention In #national #science and #politics news: PM says Nuclear energy vital for growth!,1,"['national', 'science', 'politics', 'news', 'pm', 'says', 'nuclear', 'energy', 'vital', 'growth']"
116,"RT @mention In Japan the 6th graders take field trips to nuclear power plants? Gees, makes my field trips to the movie theater look really boring",2,"['japan', 'th', 'graders', 'take', 'field', 'trips', 'nuclear', 'power', 'plants', 'gees', 'makes', 'field', 'trips', 'movie', 'theater', 'look', 'really', 'boring']"
117,"RT @mention India - Nuclear power generation to touch 20,000 MW: The country's nuclear power generation i... {link}",2,"['india', 'nuclear', 'power', 'generation', 'touch', 'mw', 'countrys', 'nuclear', 'power', 'generation']"
118,RT @mention India to accord highest safety standards for civil nuclear energy: PM {link},2,"['india', 'accord', 'highest', 'safety', 'standards', 'civil', 'nuclear', 'energy', 'pm']"
119,RT @mention Internet. Weather Forecasting. GPS. Commercial Aviation. Freight. Nuclear Energy. What do these things have in common?,2,"['internet', 'weather', 'forecasting', 'gps', 'commercial', 'aviation', 'freight', 'nuclear', 'energy', 'things', 'common']"
120,"RT @mention Iran's Top Diplomat To Discuss Nuclear Energy Issues In Moscow: Ali Akbar Salehi, the foreign minister of Iran, ... {link}",2,"['irans', 'top', 'diplomat', 'discuss', 'nuclear', 'energy', 'issues', 'moscow', 'ali', 'akbar', 'salehi', 'foreign', 'minister', 'iran']"
121,"RT @mention Is #SaudiArabia making a transition from #oil to #nuclear ? {link} &gt; when SA is bearish on oil, we should all notice",2,"['saudiarabia', 'making', 'transition', 'oil', 'nuclear', 'sa', 'bearish', 'oil', 'notice']"
122,RT @mention Issues: Nuclear Energy &amp; Waste: Fact Sheet {link} &lt;-Reprocessing nuclear waste creates more nuclear waste,2,"['issues', 'nuclear', 'energy', 'reprocessing', 'nuclear', 'waste', 'creates', 'nuclear', 'waste']"
123,@mention it seemed like politically speaking the US was on it's way to jumping more into nuclear power but then the Japan incident happened,2,"['seemed', 'like', 'politically', 'speaking', 'us', 'way', 'jumping', 'nuclear', 'power', 'japan', 'incident', 'happened']"
124,"RT @mention It's sad that as a society, we are scared to use technology like nuclear power for progress•_É (cont) {link}",1,"['sad', 'society', 'scared', 'use', 'technology', 'like', 'nuclear', 'power', 'progress•é', 'cont']"
125,@mention lol it was from the years of working at the nuclear power plant,2,"['lol', 'years', 'working', 'nuclear', 'power', 'plant']"
126,RT @mention Mark Hibbs on Saudi Arabia•_Õs nuclear energy ambitions {link},2,"['mark', 'hibbs', 'saudi', 'arabia•õs', 'nuclear', 'energy', 'ambitions']"
127,RT @mention More good news...Russia proposes to construct nuclear plants in Iran {link},1,"['good', 'newsrussia', 'proposes', 'construct', 'nuclear', 'plants', 'iran']"
128,"RT @mention More Nuclear Power, Please. {link}",1,"['nuclear', 'power', 'please']"
129,RT @mention More potential energy than a nuclear power plant:Cannabis=safer More healing properties than alcohol:Cannabis=safer themarijuanateaparty.org,2,"['potential', 'energy', 'nuclear', 'power', 'plantcannabissafer', 'healing', 'properties', 'alcoholcannabissafer', 'themarijuanateapartyorg']"
130,"@mention Mr.Vat-&quot;Oh Mr.Burns, so insightful. Not just sitting in your office at the nuclear power plant trying to tear down schools.&quot;",2,['mrvat']
131,"@mention My &quot;agenda&quot; is spreading Calm, Certainty, and Reassurance (aka truth) about #nuclear energy in response to FUD. Yours?",1,"['spreading', 'calm', 'certainty', 'reassurance', 'aka', 'truth', 'nuclear', 'energy', 'response', 'fud']"
132,"@mention my line at work, when it's crazy.. I'm going to get a nice quiet job at the nuclear power plant..",2,"['line', 'work', 'crazy', 'im', 'going', 'get', 'nice', 'quiet', 'job', 'nuclear', 'power', 'plant']"
133,@mention Nah man. It is the same thing with nuclear power supporters and NIMBYism. They support it so long as it doesn't relate to them.,2,"['nah', 'man', 'thing', 'nuclear', 'power', 'supporters', 'nimbyism', 'support', 'long', 'doesnt', 'relate']"
134,RT @mention Nation hit by A-bombs placed big bet on nuclear power {link},2,"['nation', 'hit', 'abombs', 'placed', 'big', 'bet', 'nuclear', 'power']"
135,RT @mention New nuclear power plants are just too expensive to build. See what Exelon's CEO says: {link},0,"['new', 'nuclear', 'power', 'plants', 'expensive', 'build', 'see', 'exelons', 'ceo', 'says']"
136,"RT @mention NGOs, Academics Call For Abolition Of Nuclear Plants: Antinuclear nongovernmental organizations and academics ca... {link}",2,"['ngos', 'academics', 'call', 'abolition', 'nuclear', 'plants', 'antinuclear', 'nongovernmental', 'organizations', 'academics', 'ca']"
137,RT @mention no-nukes-logo {link} via @mention,2,"['nonukeslogo', 'via']"
138,RT @mention Not only Japan but also the nuclear power plant all over the world has a lot of problems.Please save children and {link},0,"['japan', 'also', 'nuclear', 'power', 'plant', 'world', 'lot', 'problemsplease', 'save', 'children']"
139,RT @mention Now: No earthquake or tsunami damage reported at any nuclear power plants in Japan.,2,"['earthquake', 'tsunami', 'damage', 'reported', 'nuclear', 'power', 'plants', 'japan']"
140,RT @mention Nuclear blog digest. RT @mention 65th Carnival of Nuclear Energy Bloggers is Up {link} #nuclear,2,"['nuclear', 'blog', 'digest', 'th', 'carnival', 'nuclear', 'energy', 'bloggers', 'nuclear']"
141,"RT @mention Nuclear energy declines while greener energy emerges. If you're in Arizona, we're talkin' to you! {link}",2,"['nuclear', 'energy', 'declines', 'greener', 'energy', 'emerges', 'youre', 'arizona', 'talkin']"
142,RT @mention Nuclear energy is a hell of a way to boil water&quot; Albert Einstein...&#12300;&#21407;&#23376;&#21147;&#12399;&#28271;&#12434;&#27832;&#12363;&#12377;&#26041;&#27861;&#12398;&#22320;&#29508;&#12391;&#12377;&#12301;&#12450;&#12523;&#12496;&#12540;&#12488;&#12539;&#12450;&#12452;&#12531;&#12471;&#12517;&#12479;&#12452;&#12531; (exite&#32763;&#35379;)&#12290;&#22320;&#29508;&#12384;&#12424;&#65281;&#12504;&#12523;&#65281;&#22320;&#29508;&#12398;&#28271;&#27832;&#12363;&#12375;&#22120;&#65281;&#12450;&#12507;&#65281;,2,"['nuclear', 'energy', 'hell', 'way', 'boil', 'water']"
143,"RT @mention Nuclear energy is a very expensive and dangerous way to boil water. What's more, when it screws up the earth is uninhabitable for humans.",0,"['nuclear', 'energy', 'expensive', 'dangerous', 'way', 'boil', 'water', 'whats', 'screws', 'earth', 'uninhabitable', 'humans']"
144,"RT @mention Nuclear energy, capitalism and communism | International ... {link}",2,"['nuclear', 'energy', 'capitalism', 'communism', 'international']"
145,"RT @mention Nuclear Energy. Clean for now, death to the planet and all of our future generations. Nice work!",0,"['nuclear', 'energy', 'clean', 'death', 'planet', 'future', 'generations', 'nice', 'work']"
146,"RT @mention Nuclear Power after Fukushima: It is, still, the energy of the future (Reprint of article fm Jun 20 National Review) {link}",2,"['nuclear', 'power', 'fukushima', 'still', 'energy', 'future', 'reprint', 'article', 'fm', 'jun', 'national', 'review']"
147,@mention nuclear power is in the best interest of the future of Saskatchewan...we are a world leader in #uranium #backwards #hypocrite,2,"['nuclear', 'power', 'best', 'interest', 'future', 'saskatchewanwe', 'world', 'leader', 'uranium', 'backwards', 'hypocrite']"
148,RT @mention Nuclear power plant #construction spending approved at Vogtle site in GA {link} From @mention,2,"['nuclear', 'power', 'plant', 'construction', 'spending', 'approved', 'vogtle', 'site', 'ga']"
149,"@mention Nuclear power, zealous protectionism, arms (ironically!), horses, frogs, snails, sparrows, otters, voles, topless birds...",2,"['nuclear', 'power', 'zealous', 'protectionism', 'arms', 'ironically', 'horses', 'frogs', 'snails', 'sparrows', 'otters', 'voles', 'topless', 'birds']"
150,"RT @mention NY Times: German Chancellor Merkel white washes her abrupt, politically expedient U-turn on #nuclear energy. {link}",2,"['ny', 'times', 'german', 'chancellor', 'merkel', 'white', 'washes', 'abrupt', 'politically', 'expedient', 'uturn', 'nuclear', 'energy']"
151,@mention or New Green Energy: Nuclear Energy for the 21st Century,2,"['new', 'green', 'energy', 'nuclear', 'energy', 'st', 'century']"
152,RT @mention Progress report on #Fukushima Daiichi {link} #nuclear #energy,2,"['progress', 'report', 'fukushima', 'daiichi', 'nuclear', 'energy']"
153,"RT @mention Protect Yourself From Nuclear Power Plant Radiation, Plan an evacuation route, Know the Safe zones {link}",2,"['protect', 'nuclear', 'power', 'plant', 'radiation', 'plan', 'evacuation', 'route', 'know', 'safe', 'zones']"
154,RT @mention Public Support for Nuclear Energy Remains Strong {link},2,"['public', 'support', 'nuclear', 'energy', 'remains', 'strong']"
155,"RT @mention Quote of the Day: In Florida, we cannot afford the consequences of not including nuclear power ... {link} #nuclear #energy",1,"['quote', 'day', 'florida', 'cannot', 'afford', 'consequences', 'including', 'nuclear', 'power', 'nuclear', 'energy']"
156,RT @mention Radioactive Leak at Fort Calhoun Nuclear Power Station | Nuclear ...: Radioactive Leak at Fort Calhoun Nuclear P... {link},2,"['radioactive', 'leak', 'fort', 'calhoun', 'nuclear', 'power', 'station', 'nuclear', 'radioactive', 'leak', 'fort', 'calhoun', 'nuclear', 'p']"
157,RT @mention Random #garmentcare fact: did you know that HEPA filters were designed for nuclear power plants?,2,"['random', 'garmentcare', 'fact', 'know', 'hepa', 'filters', 'designed', 'nuclear', 'power', 'plants']"
158,RT @mention Reading: #China•_Õs #Nuclear Power Plans Unfazed by Fukushima #Disaster @mention {link} similar to our: {link},2,"['reading', 'china•õs', 'nuclear', 'power', 'plans', 'unfazed', 'fukushima', 'disaster']"
159,RT @mention Remember there were two or three American Nuclear power plants under water or leaking? Where is the news coverage? #blackout #corruptmedia,2,"['remember', 'two', 'three', 'american', 'nuclear', 'power', 'plants', 'water', 'leaking', 'news', 'coverage', 'blackout', 'corruptmedia']"
160,"@mention report, 'Laser Advances in Nuclear Fuel Stir Terror Fear,&quot; proves we can't divorce nuclear energy from nonproliferation discussions",2,"['report', 'laser', 'advances', 'nuclear', 'fuel', 'stir', 'terror', 'fear', 'proves', 'cant', 'divorce', 'nuclear', 'energy', 'nonproliferation', 'discussions']"
161,RT @mention Reporting from the grounds of Fukushima Daiichi Nuclear Power Station {link},2,"['reporting', 'grounds', 'fukushima', 'daiichi', 'nuclear', 'power', 'station']"
162,"@mention rolling back regulations? Is that because we should trust wallstreet the oil ,nuclear energy corps to do the right thing?",2,"['rolling', 'back', 'regulations', 'trust', 'wallstreet', 'oil', 'nuclear', 'energy', 'corps', 'right', 'thing']"
163,RT @mention RT @mention 66th Carnival of Nuclear Energy Bloggers online now at ANS #Nuclear Cafe {link},2,"['th', 'carnival', 'nuclear', 'energy', 'bloggers', 'online', 'ans', 'nuclear', 'cafe']"
164,RT @mention RT @mention Progress report on #Fukushima Daiichi {link} #nuclear #energy,2,"['progress', 'report', 'fukushima', 'daiichi', 'nuclear', 'energy']"
165,RT @mention RT•_Ò@mention Report: Ground Under Fukushima Plant Cracking &amp; Venting Radioactive Steam {link} &quot;abandon nuclear power altogether&quot;,0,"['•ò', 'report', 'ground', 'fukushima', 'plant', 'cracking']"
166,RT @mention Russia in talks to build MORE nuclear power plants in Iran... Magog and Persia doing what comes naturally...,2,"['russia', 'talks', 'build', 'nuclear', 'power', 'plants', 'iran', 'magog', 'persia', 'comes', 'naturally']"
167,RT @mention Russia proposed cooperating w IR on building new nuclear power plants; Iran's nuclear chief says; PressTV {link},2,"['russia', 'proposed', 'cooperating', 'w', 'ir', 'building', 'new', 'nuclear', 'power', 'plants', 'irans', 'nuclear', 'chief', 'says', 'presstv']"
168,RT @mention Saudi Arabia boosts its nuclear energy ambitions {link} #nuclear &lt; This disturbs me. Women can't drive there.,0,"['saudi', 'arabia', 'boosts', 'nuclear', 'energy', 'ambitions', 'nuclear', 'disturbs', 'women', 'cant', 'drive']"
169,RT @mention Saudi Arabia•_Õs Nuclear Energy Ambitions: Filed under: Energy News {link},2,"['saudi', 'arabia•õs', 'nuclear', 'energy', 'ambitions', 'filed', 'energy', 'news']"
170,"RT @mention Science Saturday: Nuclear energy, melting ice caps, and human adaptation {link}",2,"['science', 'saturday', 'nuclear', 'energy', 'melting', 'ice', 'caps', 'human', 'adaptation']"
171,"RT @mention Science Saturday: Nuclear Energy, Melting Ice Caps, And Human Adaptation: I was on Bloggingheads.tv Science Satu... {link}",2,"['science', 'saturday', 'nuclear', 'energy', 'melting', 'ice', 'caps', 'human', 'adaptation', 'bloggingheadstv', 'science', 'satu']"
172,RT @mention Should nuclear power be feared? Or more understood? {link} #Fukushima #energy #Germany #Japan #orcot,2,"['nuclear', 'power', 'feared', 'understood', 'fukushima', 'energy', 'germany', 'japan', 'orcot']"
173,RT @mention Slovenia's nuclear power plant in Krsko - @mention News {link},2,"['slovenias', 'nuclear', 'power', 'plant', 'krsko', 'news']"
174,"RT @mention Smart, important post. RT @mention Studying radioactive sulfur from Fukushima isn't about nuclear power. It's about coal. bit.ly/r2KcaI",2,"['smart', 'important', 'post', 'studying', 'radioactive', 'sulfur', 'fukushima', 'isnt', 'nuclear', 'power', 'coal', 'bitlyrkcai']"
175,@mention Sounds good. And agreed on the boats. Larger keepout zone this time due to nuclear power source.,2,"['sounds', 'good', 'agreed', 'boats', 'larger', 'keepout', 'zone', 'time', 'due', 'nuclear', 'power', 'source']"
176,RT @mention SPOTLIGHT: U.S. Nuclear Safety is as Nuclear Safety Does: Multiple strengthening grids integral... {link} #nuclear #energy,2,"['spotlight', 'us', 'nuclear', 'safety', 'nuclear', 'safety', 'multiple', 'strengthening', 'grids', 'integral', 'nuclear', 'energy']"
177,@mention still more people than have ever died due to nuclear power in the US,0,"['still', 'people', 'ever', 'died', 'due', 'nuclear', 'power', 'us']"
178,"RT @mention Stop talking,start building nuclear power plants,oil drilling,get a patriot in charge,this verbal muslim/lib diarrhea has gone far enough!",2,"['stop', 'talkingstart', 'building', 'nuclear', 'power', 'plantsoil', 'drillingget', 'patriot', 'chargethis', 'verbal', 'muslimlib', 'diarrhea', 'gone', 'far', 'enough']"
179,RT @mention Studying radioactive sulfur from Fukushima isn't about nuclear power. It's about coal. {link},2,"['studying', 'radioactive', 'sulfur', 'fukushima', 'isnt', 'nuclear', 'power', 'coal']"
180,"@mention Tainted food, bribery, issues with nuclear power...it's like you saw Japan's future Will there be a quake in a future book too?",2,"['tainted', 'food', 'bribery', 'issues', 'nuclear', 'powerits', 'like', 'saw', 'japans', 'future', 'quake', 'future', 'book']"
181,@mention That would be nice. &quot;Health and Safety Conciderations: Fukushima Nuclear Power Plant Workers at Risk of Heat-Realted Illness&quot;,0,"['would', 'nice']"
182,RT @mention The 65th Carnival of Pro Nuclear blogs (and podcasts) is up at NEI Nuclear Notes. Find out what the nukes are saying {link},2,"['th', 'carnival', 'pro', 'nuclear', 'blogs', 'podcasts', 'nei', 'nuclear', 'notes', 'find', 'nukes', 'saying']"
183,"RT @mention The cement engulfed his organs, muscles and skin, everything except his heart, a heart forged with nuclear power. He became a man of stone.",2,"['cement', 'engulfed', 'organs', 'muscles', 'skin', 'everything', 'except', 'heart', 'heart', 'forged', 'nuclear', 'power', 'became', 'man', 'stone']"
184,@mention The drinking bird was predisposed venting gas at the Springfield Nuclear Power Plant.,2,"['drinking', 'bird', 'predisposed', 'venting', 'gas', 'springfield', 'nuclear', 'power', 'plant']"
185,RT @mention The First Nuclear Reactor Since The Fukushima's Accident Is Reactivated.: The reactivation is featuring for firs... {link},2,"['first', 'nuclear', 'reactor', 'since', 'fukushimas', 'accident', 'reactivated', 'reactivation', 'featuring', 'firs']"
186,RT @mention The government plans to rent all land owned by residents in parts of no-entry zone of Fukushima nuclear power plant. {link},2,"['government', 'plans', 'rent', 'land', 'owned', 'residents', 'parts', 'noentry', 'zone', 'fukushima', 'nuclear', 'power', 'plant']"
187,RT @mention The Hindu : News / National : Nuclear energy will play important role: Manmohan: {link} {link},2,"['hindu', 'news', 'national', 'nuclear', 'energy', 'play', 'important', 'role', 'manmohan']"
188,RT @mention THE NUCLEAR ENERGY OPTION. The famous book of Prof. L.B. Cohen is free {link},2,"['nuclear', 'energy', 'option', 'famous', 'book', 'prof', 'lb', 'cohen', 'free']"
189,RT @mention The US #nuclear industry is taking 7 steps to reconfirm safety &amp; emergency preparedness at nuclear plants. Learn more: {link},2,"['us', 'nuclear', 'industry', 'taking', 'steps', 'reconfirm', 'safety', 'emergency', 'preparedness', 'nuclear', 'plants', 'learn']"
